,dj,location,timestamp_start,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness
99,Felix Da Housecat,Circus,3998,ID - ID,4380.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.61918640136719,429314.25,1.1587895154953003,D,minor,5942.3681640625
100,Felix Da Housecat,Circus,4380,Theo Parrish - Lake Shore Drive Mixed With Vocals From First Choice - Let No Man Put Asunder,4667.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",126.04698181152344,282643.15625,1.1014010906219482,F,minor,4490.86376953125
101,Felix Da Housecat,Circus,4667,Funky Junction & KC Flightt - Voices (Lost & Found Original Dub),4890.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.9941177368164,298322.875,1.2522741556167603,F,minor,4656.29052734375
102,Felix Da Housecat,Circus,4890,Freemasons - Uninvited 2014 (feat. Bailey Tzuke) (??? Remix),5070.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.1397705078125,216199.421875,1.0963349342346191,D,major,3752.77587890625
103,Felix Da Housecat,Circus,5070,Robert Owens - I'll Be Your Friend (Original Def Mix),5315.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.96233367919922,358747.25,1.2260671854019165,F,major,5268.76025390625
104,Felix Da Housecat,Circus,5315,ID - ID,5458.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.50521087646484,232832.15625,1.0870901346206665,G,minor,3943.836181640625
105,Felix Da Housecat,Circus,5458,Hot Music - Soho (Pitched Up From 112 to 125),5670.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.95655822753906,255406.21875,1.3028913736343384,F,major,4196.09375
106,Felix Da Housecat,Circus,5670,Jamie 3:26 & Cratebug - Hit It n Quit It,5860.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.0218276977539,257909.78125,1.205704689025879,G,minor,4223.607421875
107,Felix Da Housecat,Circus,5860,ID - ID,6017.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",123.9847412109375,231213.9375,1.240566372871399,C,minor,3925.4501953125
108,Felix Da Housecat,Circus,6017,Dangerous Dan & Nicky Night Time & Rhonda INTL. ft. Julian Mitchell - A History (Original Mix),6250.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",124.00041961669922,399876.34375,1.4025652408599854,C,major,5666.17919921875
