Unnamed: 0.1,dj,location,timestamp,song,timestamp_end,video_name,audio_path,bpm,energy,danceability,key,scale,loudness,pct_Positive,pct_Neutral,pct_Negative,face_count,reward,avg_motion_energy,peak_motion_energy
87,Marlon Hoffstadt,Melbourne,1409,Darude - Sandstorm (Remix),1586.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",148.91659545898438,148370.0,1.1749001741409302,E,minor,2916.096923828125,0.0,0.0,0.0,0.0,0.055006521161672345,2.9657928453207556,50.98823928833008
88,MInanokimochi,Tokyo,1436,Glen - Superfast XI,1520.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",135.39280700683594,70191.4375,1.540457844734192,A,major,1766.080322265625,0.4947368421052631,0.3052631578947368,0.2,95.0,0.4127473413032063,5.707290938659405,32.514183044433594
89,Felix Da Housecat,Circus,1440,Moodymann - Shades of Jae (??? Remix),1665.0,"Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Funky Disco & House Mix Inside a Circus  Felix da Housecat - Book Club Radio (720p, h264, youtube).mp3",125.0167236328125,253154.171875,1.3602478504180908,G,minor,4171.26806640625,0.4285714285714285,0.5714285714285714,0.0,7.0,0.4770760326738067,2.682874309433399,36.96419525146485
90,AZYR,Teletech,1457,Remon Verhoeve - Patriotic,1634.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.60552978515625,137024.34375,1.0225768089294434,F,minor,2764.74169921875,0.4363636363636363,0.2727272727272727,0.2909090909090909,55.0,0.24196798824598698,4.771887477041636,46.80357360839844
91,Yung Singh,Melbourne,1467,Double 99 feat. Top Cat - Rip Groove x Heer (ARJXN Dub),1634.0,"Yung Singh  Boiler Room Melbourne - Boiler Room (720p, h264, youtube)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yung Singh  Boiler Room Melbourne - Boiler Room (720p, h264, youtube).mp3",142.5148468017578,50570.0625,1.1687991619110107,Ab,major,1417.779541015625,0.4722222222222222,0.3055555555555556,0.2222222222222222,36.0,0.33206581390516476,4.143226426112594,28.320398330688477
92,Fred Again..,London,1489,Fred again .. - Headie One ft. Skepta - Back to basics,1595.0,Fred again.. ｜ Boiler Room： London,/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Fred again.. ｜ Boiler Room： London.mp3,129.94857788085938,465006.625,1.2258970737457275,Bb,minor,6268.9921875,0.5070422535211268,0.1549295774647887,0.3380281690140845,71.0,0.29243159868926144,5.942566896338023,20.882022857666016
93,Yaeji,New_York,1496,Wii,1682.0,"Yaeji  Boiler Room New York - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Yaeji  Boiler Room New York - Boiler Room (720p, h264).mp3",131.06654357910156,259900.75,1.081560492515564,B,minor,4245.4248046875,0.4444444444444444,0.261437908496732,0.2941176470588235,153.0,0.24869596909224712,4.852635985966002,28.165088653564453
94,MInanokimochi,Tokyo,1520,Above & Beyond - Morning In Deira,1606.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",135.62025451660156,162963.84375,1.3608019351959229,E,major,3105.283203125,0.4364161849710982,0.2803468208092485,0.2832369942196532,346.0,0.2757271030471564,5.904727826677177,35.25088882446289
95,Chase & Status,London,1550,TC - Where's My Money (A.M.C & Turno Remix),1640.0,"Chase & Status  Boiler Room London - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Chase & Status  Boiler Room London - Boiler Room (720p, h264).mp3",87.56381225585938,487585.875,1.352616310119629,F,major,6471.341796875,0.4656716417910447,0.3164179104477612,0.217910447761194,335.0,0.3757563977970605,6.141756338978025,30.385162353515625
96,Marlon Hoffstadt,Melbourne,1586,Voodoo & Serano - Blood is pumping,1807.0,"Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Marlon Hoffstadt  Boiler Room Melbourne - Boiler Room (720p, h264).mp3",149.18711853027344,188355.65625,1.3151357173919678,G,minor,3421.651611328125,0.2564102564102564,0.4102564102564102,0.3333333333333333,156.0,0.016447992778110834,4.635153097658002,72.65096282958984
97,Fred Again..,London,1595,KH - Feelings,1894.0,Fred again.. ｜ Boiler Room： London,/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Fred again.. ｜ Boiler Room： London.mp3,131.2411346435547,793044.5,1.59379780292511,A,minor,8964.5703125,0.0,0.0,0.0,0.0,0.12187586160111262,5.875484820833818,45.134220123291016
98,MInanokimochi,Tokyo,1606,Sun Angels - Stilla,1777.0,"Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/Minna-no-kimochi (みんなのきもち)  Boiler Room Tokyo Tohji Presents u-ha - Boiler Room (720p, h264).mp3",135.52223205566406,378946.46875,1.1532856225967407,D,major,5465.71875,0.0,0.0,0.0,0.0,0.12140886402655925,5.855164310921018,56.9349365234375
99,AZYR,Teletech,1634,Juul Exler - Intrude,1783.0,"AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264)","/Users/fokia/CentraleSupelec-CV-and-RL-project/audio/AZYR  Boiler Room x Teletech Festival 2023 - Boiler Room (720p, h264).mp3",156.43675231933594,82718.6953125,1.0347261428833008,D,minor,1971.4898681640625,0.2619047619047619,0.4285714285714285,0.3095238095238095,42.0,0.06777102589463363,5.593268106434365,46.44611740112305
